variable,long_name,units
A2DCA_RPC,"Fast 2DC Corrected Accumulation per Channel, All Particles",count
A2DCR_RPC,"Fast 2DC Corrected Accumulation per Channel, Round Particles",count
ABSPEC_VXL,VCSEL Absorbption Spectrum,count
ACDP_LWI,CDP Raw Accumulation (per cell),count
ACDP_LWO,CDP Raw Accumulation (per cell),count
ADIFR,"Vertical Differential Pressure, Radome",hPa
AKRD,"Attack Angle, Radome Diff. Pressure",degree
AKY,"Attack Angle, Radome Diff. Pressure",degree
AREA_RPC,Fast 2DC Total Area of Shadowed Pixels,mm2
AS200_RWO,SPP-200 (PCASP) Raw Accumulation (per cell) - DMT,count
ASTAT,W-CCN status,V
ATF1,"Ambient Temperature, Unheated",deg_C
ATTACK,"Attack Angle, Radome Diff. Pressure",degree
ATX,"Ambient Temperature, Deiced Left",deg_C
AUHSAS_WYO,UHSAS Raw Count Histogram,count
AVGTRNS_LWI,CDP Average Transit Time,microsecond
AVGTRNS_LWO,CDP Average Transit Time,microsecond
BDIFR,"Horizontal Differential Pressure, Radome",hPa
BYPFLW_CVI,CVI Bypass Flow,slpm
C2DCA_RPC,"Fast 2DC Concentration per Channel, All Particles",#/L
C2DCR_RPC,"Fast 2DC Concentration per Channel, Round Particles",#/L
CAVP_WVISO1,Cavity Pressure,torr
CAVP_WVISO2,Cavity Pressure,torr
CAVT_WVISO1,Cavity Temperature,deg_C
CAVT_WVISO2,Cavity Temperature,deg_C
CCDP_LWI,CDP Concentration (per cell),#/cm3
CCDP_LWO,CDP Concentration (per cell),#/cm3
CDP016_bnds,lower and upper bounds for CDP_LWI,um
CDP058_bnds,lower and upper bounds for CDP_LWO,um
CDP5VMON_LWI,CDP 5 Vdc Monitor,Vdc
CDP5VMON_LWO,CDP 5 Vdc Monitor,Vdc
CFCNTS_CFDC,CFDC Total Count,count
CNTEMP,BCN Counter Inlet Temperature,deg_C
CNTS,TSI CN Counter Output,count
CONC2DCA_RPC,"Total Fast 2DC Concentration, All Particles",#/L
CONC2DCR_RPC,"Total Fast 2DC Concentration, Round Particles",#/L
CONCD_LWI,CDP Concentration (all cells),#/cm3
CONCD_LWO,CDP Concentration (all cells),#/cm3
CONCN,Condensation Nuclei (CN) Concentration,#/cm3
CONCP_RWO,PCAS Concentration (all cells),#/cm3
CONCU100_WYO,"UHSAS Concentration within the optical blo, .1 micron and bigger",#/cm3
CONCU500_WYO,"UHSAS Concentration within the optical blo, .5 micron and bigger",#/cm3
CONCU_WYO,UHSAS Concentration within the optical block(all cells),#/cm3
CONCV_VXL,VCSEL Moisture Number Density,#/cm3
CO_ARI,volume_mixing_ratio_of_carbon_monoxide_in_dry_air,ppbv
CS200_RWO,SPP-200 (PCASP) Concentration (per cell) - DMT,#/cm3
CT2_CFDC,CFDC Aerosol Location Temperature,deg_C
CUHSAS_WYO,UHSAS Concentration within the optical block (per cell),#/cm3
CWC_WVISO1,condensed water content,g/m3
DAST_WVISO1,DAS Temperature,deg_C
DAST_WVISO2,DAS Temperature,deg_C
DATE_RPC,Fast 2DC Date / Time Stamp,count
DBAR2DCA_RPC,"Fast 2DC Mean Particle Diameter, All Particles",um
DBAR2DCR_RPC,"Fast 2DC Mean Particle Diameter, Round Particles",um
DBARD_LWI,CDP Mean Particle Diameter,um
DBARD_LWO,CDP Mean Particle Diameter,um
DBARP_RWO,PCAS Mean Particle Diameter,um
DBARU_WYO,UHSAS Mean Particle Diameter,um
DBZ2DCA_RPC,"Fast 2DC Calculated Reflectivity, All Particles",dBZ
DBZ2DCR_RPC,"Fast 2DC Calculated Reflectivity, Round Particles",dBZ
